day,medal_date,medal_type,name,country_code,gender,discipline,event,event_type,url_event
7,02-08-2024,Bronze Medal,WATANABE/HIGASHINO,JPN,X,Badminton,Mixed Doubles,HCOUP,/en/paris-2024/results/badminton/mixed-doubles/fnl-000200--
7,02-08-2024,Gold Medal,Joris DAUDET,FRA,M,Cycling BMX Racing,Men,ATH,/en/paris-2024/results/cycling-bmx-racing/men/fnl-000100--
7,02-08-2024,Silver Medal,Sylvain ANDRE,FRA,M,Cycling BMX Racing,Men,ATH,/en/paris-2024/results/cycling-bmx-racing/men/fnl-000100--
7,02-08-2024,Bronze Medal,Romain MAHIEU,FRA,M,Cycling BMX Racing,Men,ATH,/en/paris-2024/results/cycling-bmx-racing/men/fnl-000100--
7,02-08-2024,Gold Medal,Saya SAKAKIBARA,AUS,W,Cycling BMX Racing,Women,ATH,/en/paris-2024/results/cycling-bmx-racing/women/fnl-000100--
7,02-08-2024,Silver Medal,Manon VEENSTRA,NED,W,Cycling BMX Racing,Women,ATH,/en/paris-2024/results/cycling-bmx-racing/women/fnl-000100--
7,02-08-2024,Bronze Medal,Zoe CLAESSENS,SUI,W,Cycling BMX Racing,Women,ATH,/en/paris-2024/results/cycling-bmx-racing/women/fnl-000100--
7,02-08-2024,Gold Medal,China,CHN,M,Diving,Men's Synchronised 3m Springboard,TEAM,/en/paris-2024/results/diving/men-s-synchronised-3m-springboard/fnl-000100--
7,02-08-2024,Silver Medal,Mexico,MEX,M,Diving,Men's Synchronised 3m Springboard,TEAM,/en/paris-2024/results/diving/men-s-synchronised-3m-springboard/fnl-000100--
7,02-08-2024,Bronze Medal,Great Britain,GBR,M,Diving,Men's Synchronised 3m Springboard,TEAM,/en/paris-2024/results/diving/men-s-synchronised-3m-springboard/fnl-000100--
7,02-08-2024,Gold Medal,Great Britain,GBR,O,Equestrian,Jumping Team,TEAM,/en/paris-2024/results/equestrian/jumping-team/fnl-000100--
7,02-08-2024,Silver Medal,United States,USA,O,Equestrian,Jumping Team,TEAM,/en/paris-2024/results/equestrian/jumping-team/fnl-000100--
7,02-08-2024,Bronze Medal,France,FRA,O,Equestrian,Jumping Team,TEAM,/en/paris-2024/results/equestrian/jumping-team/fnl-000100--
7,02-08-2024,Gold Medal,Hungary,HUN,M,Fencing,Men's Épée Team,HTEAM,/en/paris-2024/results/fencing/men-s-epee-team/fnl-000100--
7,02-08-2024,Silver Medal,Japan,JPN,M,Fencing,Men's Épée Team,HTEAM,/en/paris-2024/results/fencing/men-s-epee-team/fnl-000100--
7,02-08-2024,Bronze Medal,Czechia,CZE,M,Fencing,Men's Épée Team,HTEAM,/en/paris-2024/results/fencing/men-s-epee-team/fnl-000200--
7,02-08-2024,Gold Medal,Teddy RINER,FRA,M,Judo,Men +100 kg,HATH,/en/paris-2024/results/judo/men--plus-100-kg/fnl-000100--
