medal_date,medal_type,medal_code,name,country_code,gender,discipline,event,event_type,url_event
2024-08-10,Silver Medal,2,Akbar DJURAEV,UZB,M,Weightlifting,Men's 102kg,ATH,/en/paris-2024/results/weightlifting/men-s-102kg/fnl-000100--
2024-08-10,Bronze Medal,3,Yauheni TSIKHANTSOU,AIN,M,Weightlifting,Men's 102kg,ATH,/en/paris-2024/results/weightlifting/men-s-102kg/fnl-000100--
2024-08-10,Gold Medal,1,Solfrid Eila Amena KOANDA,NOR,W,Weightlifting,Women's 81kg,ATH,/en/paris-2024/results/weightlifting/women-s-81kg/fnl-000100--
2024-08-10,Silver Medal,2,Sara AHMED,EGY,W,Weightlifting,Women's 81kg,ATH,/en/paris-2024/results/weightlifting/women-s-81kg/fnl-000100--
2024-08-10,Bronze Medal,3,Neisi Patricia DAJOMES BARRERA,ECU,W,Weightlifting,Women's 81kg,ATH,/en/paris-2024/results/weightlifting/women-s-81kg/fnl-000100--
2024-08-10,Gold Medal,1,Geno PETRIASHVILI,GEO,M,Wrestling,Men's Freestyle 125kg,HATH,/en/paris-2024/results/wrestling/men-s-freestyle-125kg/fnl-000100--
2024-08-10,Silver Medal,2,Amir Hossein ZARE,IRI,M,Wrestling,Men's Freestyle 125kg,HATH,/en/paris-2024/results/wrestling/men-s-freestyle-125kg/fnl-000100--
2024-08-10,Bronze Medal,3,Taha AKGUL,TUR,M,Wrestling,Men's Freestyle 125kg,HATH,/en/paris-2024/results/wrestling/men-s-freestyle-125kg/repf000100--
2024-08-10,Bronze Medal,3,Giorgi MESHVILDISHVILI,AZE,M,Wrestling,Men's Freestyle 125kg,HATH,/en/paris-2024/results/wrestling/men-s-freestyle-125kg/repf000200--
2024-08-10,Gold Medal,1,Razambek Salambekovitch JAMALOV,UZB,M,Wrestling,Men's Freestyle 74kg,HATH,/en/paris-2024/results/wrestling/men-s-freestyle-74kg/fnl-000100--
2024-08-10,Silver Medal,2,TAKATANI Daichi,JPN,M,Wrestling,Men's Freestyle 74kg,HATH,/en/paris-2024/results/wrestling/men-s-freestyle-74kg/fnl-000100--
2024-08-10,Bronze Medal,3,Kyle Douglas DAKE,USA,M,Wrestling,Men's Freestyle 74kg,HATH,/en/paris-2024/results/wrestling/men-s-freestyle-74kg/repf000100--
2024-08-10,Bronze Medal,3,Chermen VALIEV,ALB,M,Wrestling,Men's Freestyle 74kg,HATH,/en/paris-2024/results/wrestling/men-s-freestyle-74kg/repf000200--
2024-08-10,Gold Medal,1,MOTOKI Sakura,JPN,W,Wrestling,Women's Freestyle 62kg,HATH,/en/paris-2024/results/wrestling/women-s-freestyle-62kg/fnl-000100--
2024-08-10,Silver Medal,2,Iryna KOLIADENKO,UKR,W,Wrestling,Women's Freestyle 62kg,HATH,/en/paris-2024/results/wrestling/women-s-freestyle-62kg/fnl-000100--
2024-08-10,Bronze Medal,3,Aisuluu TYNYBEKOVA,KGZ,W,Wrestling,Women's Freestyle 62kg,HATH,/en/paris-2024/results/wrestling/women-s-freestyle-62kg/repf000100--
2024-08-10,Bronze Medal,3,Grace Jacob BULLEN,NOR,W,Wrestling,Women's Freestyle 62kg,HATH,/en/paris-2024/results/wrestling/women-s-freestyle-62kg/repf000200--
2024-08-10,Gold Medal,1,People's Republic of China,CHN,W,Rhythmic Gymnastics,Group All-Around,TEAM,
2024-08-10,Silver Medal,2,Israel,ISR,W,Rhythmic Gymnastics,Group All-Around,TEAM,
2024-08-10,Bronze Medal,3,Italy,ITA,W,Rhythmic Gymnastics,Group All-Around,TEAM,
2024-08-11,Gold Medal,1,Sifan HASSAN,NED,W,Athletics,Women's Marathon,ATH,/en/paris-2024/results/athletics/women-s-marathon/fnl-000100--
2024-08-11,Silver Medal,2,Tigst ASSEFA,ETH,W,Athletics,Women's Marathon,ATH,/en/paris-2024/results/athletics/women-s-marathon/fnl-000100--
2024-08-11,Bronze Medal,3,Hellen OBIRI,KEN,W,Athletics,Women's Marathon,ATH,/en/paris-2024/results/athletics/women-s-marathon/fnl-000100--
2024-08-11,Gold Medal,1,United States,USA,W,Basketball,Women,HTEAM,/en/paris-2024/results/basketball/women/fnl-000100--
2024-08-11,Silver Medal,2,France,FRA,W,Basketball,Women,HTEAM,/en/paris-2024/results/basketball/women/fnl-000100--
2024-08-11,Bronze Medal,3,Australia,AUS,W,Basketball,Women,HTEAM,/en/paris-2024/results/basketball/women/fnl-000200--
2024-08-11,Gold Medal,1,Harrie LAVREYSEN,NED,M,Cycling Track,Men's Keirin,ATH,/en/paris-2024/results/cycling-track/men-s-keirin/fnl---------
2024-08-11,Silver Medal,2,Matthew RICHARDSON,AUS,M,Cycling Track,Men's Keirin,ATH,/en/paris-2024/results/cycling-track/men-s-keirin/fnl---------
2024-08-11,Bronze Medal,3,Matthew GLAETZER,AUS,M,Cycling Track,Men's Keirin,ATH,/en/paris-2024/results/cycling-track/men-s-keirin/fnl---------
2024-08-11,Gold Medal,1,Jennifer VALENTE,USA,W,Cycling Track,Women's Omnium,ATH,/en/paris-2024/results/cycling-track/women-s-omnium/pts-000100--
2024-08-11,Silver Medal,2,Daria PIKULIK,POL,W,Cycling Track,Women's Omnium,ATH,/en/paris-2024/results/cycling-track/women-s-omnium/pts-000100--
2024-08-11,Bronze Medal,3,Ally WOLLASTON,NZL,W,Cycling Track,Women's Omnium,ATH,/en/paris-2024/results/cycling-track/women-s-omnium/pts-000100--
2024-08-11,Gold Medal,1,Ellesse ANDREWS,NZL,W,Cycling Track,Women's Sprint,ATH,/en/paris-2024/results/cycling-track/women-s-sprint/fnl---------
2024-08-11,Silver Medal,2,Lea FRIEDRICH,GER,W,Cycling Track,Women's Sprint,ATH,/en/paris-2024/results/cycling-track/women-s-sprint/fnl---------
2024-08-11,Bronze Medal,3,Emma FINUCANE,GBR,W,Cycling Track,Women's Sprint,ATH,/en/paris-2024/results/cycling-track/women-s-sprint/fnl---------
2024-08-11,Gold Medal,1,Denmark,DEN,M,Handball,Men,HTEAM,/en/paris-2024/results/handball/men/fnl-000100--
2024-08-11,Silver Medal,2,Germany,GER,M,Handball,Men,HTEAM,/en/paris-2024/results/handball/men/fnl-000100--
2024-08-11,Bronze Medal,3,Spain,ESP,M,Handball,Men,HTEAM,/en/paris-2024/results/handball/men/fnl-000200--
2024-08-11,Gold Medal,1,Michelle GULYAS,HUN,W,Modern Pentathlon,Women's Individual,ATH,/en/paris-2024/results/modern-pentathlon/women-s-individual/fnl-0001lr--
2024-08-11,Silver Medal,2,Elodie CLOUVEL,FRA,W,Modern Pentathlon,Women's Individual,ATH,/en/paris-2024/results/modern-pentathlon/women-s-individual/fnl-0001lr--
2024-08-11,Bronze Medal,3,SEONG Seungmin,KOR,W,Modern Pentathlon,Women's Individual,ATH,/en/paris-2024/results/modern-pentathlon/women-s-individual/fnl-0001lr--
2024-08-11,Gold Medal,1,Italy,ITA,W,Volleyball,Women,HTEAM,/en/paris-2024/results/volleyball/women/fnl-000100--
2024-08-11,Silver Medal,2,United States,USA,W,Volleyball,Women,HTEAM,/en/paris-2024/results/volleyball/women/fnl-000100--
2024-08-11,Gold Medal,1,Serbia,SRB,M,Water Polo,Men,HTEAM,/en/paris-2024/results/water-polo/men/fnl-000100--
2024-08-11,Silver Medal,2,Croatia,CRO,M,Water Polo,Men,HTEAM,/en/paris-2024/results/water-polo/men/fnl-000100--
2024-08-11,Bronze Medal,3,United States,USA,M,Water Polo,Men,HTEAM,/en/paris-2024/results/water-polo/men/fnl-000200--
2024-08-11,Gold Medal,1,LI Wenwen,CHN,W,Weightlifting,Women's +81kg,ATH,/en/paris-2024/results/weightlifting/women-s--plus-81kg/fnl-000100--
2024-08-11,Silver Medal,2,PARK Hyejeong,KOR,W,Weightlifting,Women's +81kg,ATH,/en/paris-2024/results/weightlifting/women-s--plus-81kg/fnl-000100--
2024-08-11,Bronze Medal,3,Emily CAMPBELL,GBR,W,Weightlifting,Women's +81kg,ATH,/en/paris-2024/results/weightlifting/women-s--plus-81kg/fnl-000100--
2024-08-11,Gold Medal,1,KIYOOKA Kotaro,JPN,M,Wrestling,Men's Freestyle 65kg,HATH,/en/paris-2024/results/wrestling/men-s-freestyle-65kg/fnl-000100--
2024-08-11,Silver Medal,2,Rahman AMOUZADKHALILI,IRI,M,Wrestling,Men's Freestyle 65kg,HATH,/en/paris-2024/results/wrestling/men-s-freestyle-65kg/fnl-000100--
2024-08-11,Bronze Medal,3,Sebastian C RIVERA,PUR,M,Wrestling,Men's Freestyle 65kg,HATH,/en/paris-2024/results/wrestling/men-s-freestyle-65kg/repf000100--
2024-08-11,Bronze Medal,3,Islam DUDAEV,ALB,M,Wrestling,Men's Freestyle 65kg,HATH,/en/paris-2024/results/wrestling/men-s-freestyle-65kg/repf000200--
2024-08-11,Gold Medal,1,Akhmed TAZHUDINOV,BRN,M,Wrestling,Men's Freestyle 97kg,HATH,/en/paris-2024/results/wrestling/men-s-freestyle-97kg/fnl-000100--
2024-08-11,Silver Medal,2,Givi MATCHARASHVILI,GEO,M,Wrestling,Men's Freestyle 97kg,HATH,/en/paris-2024/results/wrestling/men-s-freestyle-97kg/fnl-000100--
2024-08-11,Bronze Medal,3,Magomedkhan MAGOMEDOV,AZE,M,Wrestling,Men's Freestyle 97kg,HATH,/en/paris-2024/results/wrestling/men-s-freestyle-97kg/repf000100--
2024-08-11,Bronze Medal,3,Amirali AZARPIRA,IRI,M,Wrestling,Men's Freestyle 97kg,HATH,/en/paris-2024/results/wrestling/men-s-freestyle-97kg/repf000200--
2024-08-11,Gold Medal,1,KAGAMI Yuka,JPN,W,Wrestling,Women's Freestyle 76kg,HATH,/en/paris-2024/results/wrestling/women-s-freestyle-76kg/fnl-000100--
2024-08-11,Silver Medal,2,Kennedy Alexis BLADES,USA,W,Wrestling,Women's Freestyle 76kg,HATH,/en/paris-2024/results/wrestling/women-s-freestyle-76kg/fnl-000100--
2024-08-11,Bronze Medal,3,Milaimy de la Carid. MARIN POTRILLE,CUB,W,Wrestling,Women's Freestyle 76kg,HATH,/en/paris-2024/results/wrestling/women-s-freestyle-76kg/repf000100--
2024-08-11,Bronze Medal,3,Tatiana RENTERIA RENTERIA,COL,W,Wrestling,Women's Freestyle 76kg,HATH,/en/paris-2024/results/wrestling/women-s-freestyle-76kg/repf000200--
